titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
Solidarité écologie gauche alternative,non mentionné,35,other,no,corrigé automatiquement : coalition écologiste mixte
Alliance populaire,Rassemblement des forces nationales,34,right,yes,pré-rempli automatiquement
Centre national des indépendants;Démocratie chrétienne française,non mentionné,33,right,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,non mentionné,32,left,yes,pré-rempli automatiquement
Verts,Entente des écologistes,31,other,no,pré-rempli automatiquement
Mouvement des réformateurs,non mentionné,31,other,no,pré-rempli automatiquement
Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,30,other,no,pré-rempli automatiquement
Union pour la démocratie française,non mentionné,30,right,yes,pré-rempli automatiquement
Parti du ras le bol,non mentionné,23,other,no,pré-rempli automatiquement
Alliance populaire,non mentionné,22,right,yes,pré-rempli automatiquement
Parti des travailleurs;Alliance européenne des travailleurs,non mentionné,22,left,yes,pré-rempli automatiquement
Centre national des indépendants et paysans;Démocratie chrétienne française,non mentionné,22,right,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Alliance des Français pour le progrès,21,left,yes,pré-rempli automatiquement
non mentionné,Union pour l'écologie et la démocratie,19,other,no,corrigé automatiquement : ambigu
Parti des travailleurs;Alliance européenne des travailleurs;Entente internationale des travailleurs,non mentionné,19,left,yes,pré-rempli automatiquement
sans étiquette,non mentionné,17,other,no,corrigé automatiquement : ambigu
Chasse pêche nature traditions,non mentionné,16,other,no,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République,Union de l'opposition,14,right,yes,corrigé automatiquement : opposition de droite
Génération écologie,Entente des écologistes,13,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces de gauche et de progrès,12,left,yes,pré-rempli automatiquement
communiste,non mentionné,10,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces de progrès et de gauche,10,left,yes,pré-rempli automatiquement
non mentionné,Opposition,10,right,yes,pré-rempli automatiquement
libre,non mentionné,10,other,no,pré-rempli automatiquement
divers droite,non mentionné,9,right,yes,pré-rempli automatiquement
Nouvelle solidarité,non mentionné,9,other,no,pré-rempli automatiquement
aucun parti politique,non mentionné,8,other,no,corrigé automatiquement : ambigu
Union pour la démocratie française,Union pour la France,8,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Centre national des indépendants,non mentionné,8,right,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des hommes et des femmes de gauche et de progrès,7,left,yes,pré-rempli automatiquement
Alliance populaire,Rassemblement du peuple français,7,right,yes,pré-rempli automatiquement
non mentionné,Francécologie,7,other,no,corrigé automatiquement : ambigu
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,Union pour la France,7,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,Union de l'opposition,7,right,yes,corrigé automatiquement : opposition de droite
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants,Enjeu France,7,other,no,pré-rempli automatiquement
Génération écologie;Verts;Alternative rouge et verte,Entente des écologistes,6,other,no,corrigé automatiquement : coalition écologiste mixte
Verts,non mentionné,6,other,no,pré-rempli automatiquement
non mentionné,Ensemble aujourd'hui,6,other,no,corrigé automatiquement : ambigu
non mentionné,Entente des écologistes,6,other,no,corrigé automatiquement : ambigu
Génération écologie;Verts;Solidarités écologie,Entente des écologistes,6,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement des forces de gauche,6,left,yes,pré-rempli automatiquement
non mentionné,Ecologistes ni à droite ni à gauche,5,other,no,corrigé automatiquement : ni droite ni gauche
Centre national des indépendants,non mentionné,5,right,yes,pré-rempli automatiquement
Centre national des indépendants et paysans,non mentionné,5,right,yes,pré-rempli automatiquement
Rassemblement pour la République,Union pour la France,5,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République,Union,5,right,yes,pré-rempli automatiquement
Union des indépendants;Mouvement pour une nouvelle humanité,non mentionné,5,other,no,pré-rempli automatiquement
Solidarité écologie gauche alternative;Alternative rouge et verte,non mentionné,5,other,no,corrigé automatiquement : coalition écologiste mixte
Alsace d'abord,non mentionné,5,other,no,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,non mentionné,5,right,yes,pré-rempli automatiquement
Ecologie les Verts,Entente des écologistes,4,other,no,pré-rempli automatiquement
indépendants,non mentionné,4,other,no,pré-rempli automatiquement
socialiste,Alliance des Français pour le progrès,4,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des hommes et des femmes de progrès,4,left,yes,pré-rempli automatiquement
Mouvement pour l'autodétermination,non mentionné,4,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement pour une vraie politique de gauche,4,left,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,non mentionné,4,right,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche;Parti socialiste,Alliance des Français pour le progrès,4,left,yes,pré-rempli automatiquement
Rassemblement pour la République,Opposition,4,right,yes,corrigé automatiquement : opposition de droite
Rassemblement pour la République;Union pour la démocratie française,Opposition,4,right,yes,corrigé automatiquement : opposition de droite
non mentionné,Alliance des Français pour le progrès;Energie radicale,4,other,no,corrigé automatiquement : ambigu
gauche,non mentionné,4,left,yes,pré-rempli automatiquement
Union pour la démocratie française;Centre des démocrates sociaux,non mentionné,4,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Opposition,4,right,yes,pré-rempli automatiquement
Union des indépendants,Enjeu France,4,other,no,pré-rempli automatiquement
non mentionné,Union de l'opposition,4,right,yes,pré-rempli automatiquement
Corsica Nazione,non mentionné,4,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement pour le progrès social et la démocratie,3,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement du peuple de gauche,3,left,yes,pré-rempli automatiquement
socialiste,non mentionné,3,left,yes,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,Union de l'opposition,3,right,yes,corrigé automatiquement : opposition de droite
hors des partis politiques,non mentionné,3,other,no,pré-rempli automatiquement
Ecologie les Verts,non mentionné,3,other,no,pré-rempli automatiquement
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,Union pour la France,3,right,yes,pré-rempli automatiquement
Solidarité écologie gauche alternative;Alternative rouge et verte;Alternative démocratie socialisme,non mentionné,3,other,no,corrigé automatiquement : coalition écologiste mixte
Union pour la démocratie française;Centre national des indépendants,non mentionné,3,right,yes,pré-rempli automatiquement
non mentionné,Union des écologistes,3,other,no,corrigé automatiquement : ambigu
non mentionné,Ecologie pluraliste indépendante,3,other,no,corrigé automatiquement : ambigu
non mentionné,Majorité présidentielle,3,other,no,corrigé automatiquement : ambigu
non mentionné,Résistance verte,3,other,no,corrigé automatiquement : ambigu
Abertzaleen batasuna,non mentionné,3,other,no,pré-rempli automatiquement
Solidarité écologie gauche alternative,Solidarité écologie,3,other,no,corrigé automatiquement : coalition écologiste mixte
Union des démocrates chrétiens,non mentionné,3,other,no,pré-rempli automatiquement
Union de la jeunesse et des créateurs,non mentionné,3,other,no,pré-rempli automatiquement
Unitat catalana,non mentionné,3,other,no,pré-rempli automatiquement
Rassemblement pour la République,Union de l'opposition,3,right,yes,corrigé automatiquement : opposition de droite
Alliance pour l'écologie et la démocratie,Francécologie,3,other,no,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Majorité présidentielle,3,left,yes,pré-rempli automatiquement
Nouveaux écologistes du rassemblement nature et animaux,Entente des écologistes,3,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement pour changer à gauche,3,left,yes,corrigé automatiquement : liste explicitement à gauche
Parti socialiste,Forces de progrès,3,left,yes,pré-rempli automatiquement
socialistes,non mentionné,2,left,yes,pré-rempli automatiquement
Accolta Naziunali Corsa,non mentionné,2,other,no,pré-rempli automatiquement
Centre des démocrates sociaux;Union pour la démocratie française,Union pour la France,2,right,yes,pré-rempli automatiquement
Centre des démocrates sociaux,non mentionné,2,right,yes,corrigé automatiquement : CDS classé centre-droit
Association pour les libertés en Europe,non mentionné,2,other,no,pré-rempli automatiquement
Association des usagers de l'administration et des services publics;Union civique;SOS environnement;Région verte,Union pour l'écologie et la démocratie,2,other,no,pré-rempli automatiquement
non mentionné,Toulouse ensemble,2,other,no,corrigé automatiquement : ambigu
Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,non mentionné,2,right,yes,pré-rempli automatiquement
non mentionné,Ecologistes de gauche,2,left,yes,pré-rempli automatiquement
non mentionné,Opposition nationale,2,right,yes,pré-rempli automatiquement
Jura écologie,non mentionné,2,other,no,pré-rempli automatiquement
Union pour la démocratie française;Parti radical,non mentionné,2,right,yes,pré-rempli automatiquement
Union pour la démocratie française;Parti républicain,non mentionné,2,right,yes,pré-rempli automatiquement
Union pour la démocratie française,Union de l'opposition,2,right,yes,pré-rempli automatiquement
non mentionné,Changer à gauche,2,left,yes,corrigé automatiquement : liste explicitement à gauche
gaulliste,non mentionné,2,right,yes,pré-rempli automatiquement
indépendant;divers droite,non mentionné,2,right,yes,pré-rempli automatiquement
non inscrit,non mentionné,2,other,no,corrigé automatiquement : ambigu
non mentionné,A gauche vraiment,2,left,yes,corrigé automatiquement : liste explicitement à gauche
non mentionné,Ecologie et développement,2,other,no,corrigé automatiquement : ambigu
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,non mentionné,2,right,yes,pré-rempli automatiquement
Génération écologie,non mentionné,2,other,no,pré-rempli automatiquement
Eusko alkartasuna,non mentionné,2,other,no,pré-rempli automatiquement
Mouvement de la gauche progressiste,non mentionné,2,left,yes,pré-rempli automatiquement
Union des indépendants;Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale,Enjeu France,2,other,no,pré-rempli automatiquement
Union démocratique bretonne,non mentionné,2,other,no,pré-rempli automatiquement
Parti communiste français,Rassemblement contre la droite et pour changer de politique,2,left,yes,pré-rempli automatiquement
Rassemblement pour la République,Union de l'opposition nationale,2,right,yes,corrigé automatiquement : opposition de droite
Ligue communiste révolutionnaire;Jeunesses communistes révolutionnaires,A gauche vraiment,2,left,yes,corrigé automatiquement : liste explicitement à gauche
Mouvement des radicaux de gauche,non mentionné,2,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche,Alliance des Français pour le progrès,2,left,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,Union,2,right,yes,pré-rempli automatiquement
Parti socialiste,Majorité présidentielle,2,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Alliance des forces de progrès,2,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des citoyens,non mentionné,2,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement pour le changement,2,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement à gauche pour changer de politique,2,left,yes,pré-rempli automatiquement
socialistes,Alliance des Français pour le progrès,2,left,yes,pré-rempli automatiquement
Alternative rouge et verte,non mentionné,2,left,yes,pré-rempli automatiquement
vert et rouge,non mentionné,1,other,no,pré-rempli automatiquement
Agricultura Viva,non mentionné,1,other,no,pré-rempli automatiquement
Alliance européenne des travailleurs,non mentionné,1,other,no,pré-rempli automatiquement
Alliance populaire,Rassemblement national du peuple français,1,right,yes,pré-rempli automatiquement
Alliance populaire;Rassemblement niçois,Rassemblement des forces nationales,1,right,yes,pré-rempli automatiquement
Alliance populaire;royaliste,Rassemblement du peuple français,1,right,yes,pré-rempli automatiquement
Alliance pour l'écologie et la démocratie;Région verte;SOS environnement;Association des usagers de l'administration et des services publics;Fédération des usagers des transports d'Ile-de-France;Comité d'action du Val-de-Marne contre le bruit,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Alliance pour l'écologie et la démocratie;SOS environnement,Ecologie ch'timie,1,other,no,pré-rempli automatiquement
Alternative démocratie socialisme,Changer à gauche,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Alternative rouge et verte,Solidarité écologie,1,other,no,corrigé automatiquement : coalition écologiste mixte
Centre des démocrates sociaux,Union pour la France;Union pour la Haute-Garonne,1,right,yes,corrigé automatiquement : CDS classé centre-droit
Blanc c'est exprimé;indépendant,non mentionné,1,other,no,pré-rempli automatiquement
Biosphère pour demain,non mentionné,1,other,no,pré-rempli automatiquement
Association pour de nouvelles perspectives à gauche,Reconstruire à gauche,1,left,yes,pré-rempli automatiquement
Association des usagers de l'administration et des services publics;SOS environnement;Comité national d'action contre le bruit;Fédération des usagers des transports,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Arc en ciel;Parti radical transnational,non mentionné,1,other,no,pré-rempli automatiquement
Amis saumurois de l'écologie,non mentionné,1,other,no,pré-rempli automatiquement
Amis de la Terre,Union écologie,1,other,no,pré-rempli automatiquement
Alternative rouge et verte;Solidarité écologie gauche alternative,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Alternative rouge et verte;Solidarité écologie gauche alternative,Ecologiste et régionaliste de gauche,1,other,no,corrigé automatiquement : coalition écologiste mixte
Alternative rouge et verte;Génération écologie,Entente des écologistes,1,other,no,corrigé automatiquement : coalition écologiste mixte
Alternative rouge et verte;Alternative démocratie socialisme;Refondations;Ligue communiste révolutionnaire,Changer à gauche,1,left,yes,corrigé automatiquement : liste explicitement à gauche
non mentionné,Union de la jeunesse et des créateurs,1,other,no,corrigé automatiquement : ambigu
non mentionné,Union de l'opposition renouveau du rassemblement républicain,1,right,yes,pré-rempli automatiquement
non mentionné,Une démocratie nouvelle,1,other,no,corrigé automatiquement : ambigu
non mentionné,Une France forte et juste dans une Europe allant de l'Atlantique à l'Oural,1,other,no,corrigé automatiquement : ambigu
Parti communiste français,Rassemblement de la gauche et des forces de progrès,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Mouvement rénovateur nouvelle génération;Association O comme Oxygène,Union de l'opposition,1,right,yes,pré-rempli automatiquement
Mouvement région Savoie;Alliance libre européenne,non mentionné,1,other,no,pré-rempli automatiquement
Mouvement pour une nouvelle humanité;Union des indépendants,non mentionné,1,other,no,pré-rempli automatiquement
Mouvement démocratie alsacienne,non mentionné,1,other,no,pré-rempli automatiquement
Parti républicain,non mentionné,1,right,yes,corrigé automatiquement : parti républicain classé à droite
Parti radical;Union pour la démocratie française,non mentionné,1,right,yes,pré-rempli automatiquement
Parti occitan,non mentionné,1,other,no,pré-rempli automatiquement
Parti national démocrate,non mentionné,1,other,no,pré-rempli automatiquement
Parti libre,non mentionné,1,other,no,pré-rempli automatiquement
Parti des travailleurs;Entente internationale des travailleurs,non mentionné,1,left,yes,pré-rempli automatiquement
Parti des chômeurs et des mécontents,D'abord l'emploi,1,other,no,à revoir si besoin
Parti de la politique inter-culturelle,non mentionné,1,other,no,pré-rempli automatiquement
Parti d'en rire,non mentionné,1,other,no,pré-rempli automatiquement
Parti communiste français;Refondations,Entente démocratique pour le changement à gauche,1,left,yes,pré-rempli automatiquement
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;espoirs 93,Emploi écologie solidarité,1,other,no,corrigé automatiquement : coalition écologiste mixte
Parti socialiste;centre;divers gauche,Agir ensemble,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des réformateurs,Energie sud,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des citoyens,non mentionné,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des citoyens,Rassemblement de la gauche républicaine,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Parti socialiste;Mouvement des radicaux de gauche;Club des démocrates,non mentionné,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche;Association des démocrates,non mentionné,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Rassemblement des forces de gauche et de progrès,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Energie radicale;Alliance des Français pour le progrès,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Autrement,1,left,yes,pré-rempli automatiquement
Parti socialiste;Mouvement des radicaux de gauche,Alliance des Français pour le progrès;Energie radicale,1,left,yes,pré-rempli automatiquement
Parti socialiste,Union des Français pour le progrès,1,left,yes,pré-rempli automatiquement
Parti socialiste,Rassemblement des forces de gauche et de progrès,1,left,yes,pré-rempli automatiquement
Parti socialiste,Génération action,1,left,yes,pré-rempli automatiquement
Parti républicain;Rassemblement pour la République,Union de l'opposition,1,right,yes,corrigé automatiquement : opposition de droite
Parti communiste français,Rassemblement des forces de gauche et changement,1,left,yes,pré-rempli automatiquement
Parti communiste français,Rassemblement des femmes et des hommes de progrès,1,left,yes,pré-rempli automatiquement
Mouvement des réformateurs,Nouvelle génération centriste,1,other,no,pré-rempli automatiquement
Mouvement des réformateurs,Génération centre,1,other,no,pré-rempli automatiquement
Mouvement des réformateurs,Alliance des Français pour le progrès,1,other,no,à revoir si besoin
Mouvement des radicaux de gauche;Parti socialiste;Alliance pour l'écologie et la démocratie,Alliance des Français pour le progrès,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche;Parti socialiste,non mentionné,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche;Parti socialiste,Majorité présidentielle,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche;Parti socialiste,Alliance des Français pour le progrès;Energie radicale,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche,Pour Nice notre ville;Majorité présidentielle,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche,Energie radicale;Alliance des Français pour le progrès,1,left,yes,pré-rempli automatiquement
Mouvement des radicaux de gauche,Energie radicale,1,left,yes,pré-rempli automatiquement
Rassemblement pour la République,Opposition unie,1,right,yes,corrigé automatiquement : opposition de droite
Rassemblement pour l'Europe fédérale,non mentionné,1,other,no,pré-rempli automatiquement
Rassemblement des démocrates normands,non mentionné,1,other,no,pré-rempli automatiquement
Ras le bol,non mentionné,1,other,no,pré-rempli automatiquement
Présence socialiste,non mentionné,1,left,yes,pré-rempli automatiquement
Pour la France,non mentionné,1,other,no,pré-rempli automatiquement
Rassemblement pour la République;divers droite,non mentionné,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;indépendants;non inscrit;Des villages dans la ville,Union pour la France,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;divers modérés,non mentionné,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Parti radical;Centre des démocrates sociaux;Parti républicain;Moselle debout,non mentionné,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants;Parti républicain;Parti radical;Centre des démocrates sociaux;Parti social démocrate,Union pour la France,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,Union de l'opposition,1,right,yes,corrigé automatiquement : opposition de droite
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,Opposition,1,right,yes,corrigé automatiquement : opposition de droite
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux;Parti républicain,Union pour la France,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux,Union pour la France,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,Union pour la France;Union républicaine et libérale,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Union pour la démocratie française,Rassemblement de l'opposition,1,right,yes,corrigé automatiquement : opposition de droite
Rassemblement pour la République;Union des démocrates de progrès,non mentionné,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Indépendants et paysans,non mentionné,1,right,yes,pré-rempli automatiquement
Rassemblement pour la République;Centre national des indépendants;Union pour la démocratie française,Union pour la France,1,right,yes,pré-rempli automatiquement
Mouvement des réformateurs;Solidarités;Politique autrement,non mentionné,1,other,no,pré-rempli automatiquement
Mouvement des réformateurs;Rassemblement pour l'Europe fédérale;Convention générale de Bretagne,Rassemblement européen des réformateurs,1,other,no,à revoir si besoin
Mouvement des citoyens;Refondations;Alternative rouge et verte;Ligue communiste révolutionnaire;Alternative démocratie socialisme,Gauche citoyenne et écologiste,1,other,no,corrigé automatiquement : coalition écologiste mixte
Mouvement des citoyens;Parti socialiste,non mentionné,1,left,yes,pré-rempli automatiquement
Mouvement des citoyens;Mouvement des radicaux de gauche;Alternative démocratie socialisme,Alliance des Français pour le progrès,1,left,yes,pré-rempli automatiquement
Mouvement des citoyens,Solidarité écologie,1,left,yes,pré-rempli automatiquement
Mouvement des chrétiens pour la Ve République;Centre national des indépendants;Union des démocrates de progrès,non mentionné,1,right,yes,pré-rempli automatiquement
Mouvement de la gauche progressiste;Solidarité écologie gauche alternative,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Ligue socialiste des travailleurs,non mentionné,1,left,yes,pré-rempli automatiquement
Ligue pour les libertés publiques,non mentionné,1,other,no,pré-rempli automatiquement
Ligue communiste révolutionnaire;Egalité XXe;Refondations;Alliance rouge et verte,A gauche vraiment,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Skyrock Quercy Rouergue,non mentionné,1,other,no,pré-rempli automatiquement
Région verte;EDEN;SOS environnement;Union des écologistes;Association des usagers de l'administration et des services publics;Parti de l'arbre;Terre prochaine,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Région verte;Association des usagers de l'administration et des services publics;Union civique;SOS environnement,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Région verte,non mentionné,1,other,no,pré-rempli automatiquement
Région verte,Union région 93 verte,1,other,no,à revoir si besoin
Région verte,Union pour l'écologie et la démocratie,1,other,no,pré-rempli automatiquement
Responsabilités partagées;Alliance pour l'écologie et la démocratie,non mentionné,1,other,no,pré-rempli automatiquement
Union des indépendants,Citoyens,1,other,no,pré-rempli automatiquement
Trop d'immigrés la France aux Français;Contre le vote des immigrés,non mentionné,1,other,no,pré-rempli automatiquement
Trop d'immigrés la France aux Français,non mentionné,1,other,no,pré-rempli automatiquement
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union pour la démocratie française,Enjeu France,1,right,yes,pré-rempli automatiquement
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;écologiste indépendant,Enjeu France,1,other,no,pré-rempli automatiquement
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;Parti démocrate;Parti réformiste;Union libérale de progrès;Union centriste républicaine indépendante,Enjeu France,1,other,no,pré-rempli automatiquement
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale,Enjeu France,1,other,no,à revoir si besoin
Solidarités;A gauche autrement,Autrement recomposons une nouvelle gauche,1,left,yes,pré-rempli automatiquement
Solidarité écologie gauche alternative;Refondations,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Solidarité écologie gauche alternative;Parti des travailleurs;Mouvement des citoyens;Démocratie socialiste;Alternative démocratie socialisme;Alternative rouge et verte,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Solidarité écologie gauche alternative;Mouvement de la gauche progressiste;Alternative démocratie socialisme;Alternative rouge et verte,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Solidarité écologie gauche alternative;Ecologie solidarités,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Solidarité écologie gauche alternative;Alternative démocratie socialisme,non mentionné,1,other,no,corrigé automatiquement : coalition écologiste mixte
Solidarité écologie gauche alternative,A gauche autrement,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Mouvement des démocrates;Union des indépendants,non mentionné,1,other,no,pré-rempli automatiquement
Mouvement des démocrates libéraux,non mentionné,1,other,no,pré-rempli automatiquement
Ligue communiste révolutionnaire;Alternative libertaire,A gauche toute,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Ligue communiste révolutionnaire,Union pour une véritable écologie;A gauche vraiment,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Ligue communiste révolutionnaire,Solidarité égalité écologie;A gauche vraiment,1,left,yes,corrigé automatiquement : liste explicitement à gauche
Ligue communiste révolutionnaire,Rupture pour une gauche alternative,1,left,yes,pré-rempli automatiquement
Jeunesses communistes révolutionnaires;Groupe socialiste internationaliste,Opposition ouvrière,1,left,yes,pré-rempli automatiquement
Jeunesse nationaliste révolutionnaire,non mentionné,1,other,no,pré-rempli automatiquement
Jeunes sociaux libéraux;Union pour la démocratie française;Rassemblement pour la République,non mentionné,1,right,yes,pré-rempli automatiquement
Jeunes Centre national des indépendants;Centre national des indépendants;Démocratie chrétienne française,non mentionné,1,right,yes,pré-rempli automatiquement
Génération écologie;Verts;Parti occitan,Entente des écologistes,1,other,no,pré-rempli automatiquement
Génération écologie;Verts,Entente des écologistes;Entente des écologistes de la Méditerranée,1,other,no,pré-rempli automatiquement
Union démocratique bretonne;Solidarité écologie gauche alternative,Solidarité écologie,1,other,no,corrigé automatiquement : coalition écologiste mixte
Union du peuple de France,non mentionné,1,other,no,pré-rempli automatiquement
Union du peuple alsacien,non mentionné,1,other,no,pré-rempli automatiquement
Union des écologistes,non mentionné,1,other,no,pré-rempli automatiquement
