titulaire-soutien,titulaire-liste,count,orientation_label,keep_for_binary,notes
Union pour la démocratie française,Union pour la France,8,,,
Rassemblement pour la République;Centre national des indépendants,non mentionné,8,,,
Parti communiste français,Rassemblement des hommes et des femmes de gauche et de progrès,7,,,
Alliance populaire,Rassemblement du peuple français,7,,,
non mentionné,Francécologie,7,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,Union pour la France,7,,,
Rassemblement pour la République;Union pour la démocratie française,Union de l'opposition,7,,,
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants,Enjeu France,7,,,
Génération écologie;Verts;Alternative rouge et verte,Entente des écologistes,6,,,
Verts,non mentionné,6,,,
non mentionné,Ensemble aujourd'hui,6,,,
non mentionné,Entente des écologistes,6,,,
Génération écologie;Verts;Solidarités écologie,Entente des écologistes,6,,,
Parti communiste français,Rassemblement des forces de gauche,6,,,
non mentionné,Ecologistes ni à droite ni à gauche,5,,,
Centre national des indépendants,non mentionné,5,,,
Centre national des indépendants et paysans,non mentionné,5,,,
Rassemblement pour la République,Union pour la France,5,,,
Union pour la démocratie française;Rassemblement pour la République,Union,5,,,
Union des indépendants;Mouvement pour une nouvelle humanité,non mentionné,5,,,
Solidarité écologie gauche alternative;Alternative rouge et verte,non mentionné,5,,,
Alsace d'abord,non mentionné,5,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,non mentionné,5,,,
Ecologie les Verts,Entente des écologistes,4,,,
indépendants,non mentionné,4,,,
socialiste,Alliance des Français pour le progrès,4,,,
Parti communiste français,Rassemblement des hommes et des femmes de progrès,4,,,
Mouvement pour l'autodétermination,non mentionné,4,,,
Parti communiste français,Rassemblement pour une vraie politique de gauche,4,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,non mentionné,4,,,
Mouvement des radicaux de gauche;Parti socialiste,Alliance des Français pour le progrès,4,,,
Rassemblement pour la République,Opposition,4,,,
Rassemblement pour la République;Union pour la démocratie française,Opposition,4,,,
non mentionné,Alliance des Français pour le progrès;Energie radicale,4,,,
gauche,non mentionné,4,,,
Union pour la démocratie française;Centre des démocrates sociaux,non mentionné,4,,,
Union pour la démocratie française,Opposition,4,,,
Union des indépendants,Enjeu France,4,,,
non mentionné,Union de l'opposition,4,,,
Corsica Nazione,non mentionné,4,,,
Parti communiste français,Rassemblement pour le progrès social et la démocratie,3,,,
Parti communiste français,Rassemblement du peuple de gauche,3,,,
socialiste,non mentionné,3,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,Union de l'opposition,3,,,
hors des partis politiques,non mentionné,3,,,
Ecologie les Verts,non mentionné,3,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,Union pour la France,3,,,
Solidarité écologie gauche alternative;Alternative rouge et verte;Alternative démocratie socialisme,non mentionné,3,,,
Union pour la démocratie française;Centre national des indépendants,non mentionné,3,,,
non mentionné,Union des écologistes,3,,,
non mentionné,Ecologie pluraliste indépendante,3,,,
non mentionné,Majorité présidentielle,3,,,
non mentionné,Résistance verte,3,,,
Abertzaleen batasuna,non mentionné,3,,,
Solidarité écologie gauche alternative,Solidarité écologie,3,,,
Union des démocrates chrétiens,non mentionné,3,,,
Union de la jeunesse et des créateurs,non mentionné,3,,,
Unitat catalana,non mentionné,3,,,
Rassemblement pour la République,Union de l'opposition,3,,,
Alliance pour l'écologie et la démocratie,Francécologie,3,,,
Parti socialiste;Mouvement des radicaux de gauche,Majorité présidentielle,3,,,
Nouveaux écologistes du rassemblement nature et animaux,Entente des écologistes,3,,,
Parti communiste français,Rassemblement pour changer à gauche,3,,,
Parti socialiste,Forces de progrès,3,,,
socialistes,non mentionné,2,,,
Accolta Naziunali Corsa,non mentionné,2,,,
Centre des démocrates sociaux;Union pour la démocratie française,Union pour la France,2,,,
Centre des démocrates sociaux,non mentionné,2,,,
Association pour les libertés en Europe,non mentionné,2,,,
Association des usagers de l'administration et des services publics;Union civique;SOS environnement;Région verte,Union pour l'écologie et la démocratie,2,,,
non mentionné,Toulouse ensemble,2,,,
Centre des démocrates sociaux;Union pour la démocratie française;Rassemblement pour la République,non mentionné,2,,,
non mentionné,Ecologistes de gauche,2,,,
non mentionné,Opposition nationale,2,,,
Jura écologie,non mentionné,2,,,
Union pour la démocratie française;Parti radical,non mentionné,2,,,
Union pour la démocratie française;Parti républicain,non mentionné,2,,,
Union pour la démocratie française,Union de l'opposition,2,,,
non mentionné,Changer à gauche,2,,,
gaulliste,non mentionné,2,,,
indépendant;divers droite,non mentionné,2,,,
non inscrit,non mentionné,2,,,
non mentionné,A gauche vraiment,2,,,
non mentionné,Ecologie et développement,2,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants,non mentionné,2,,,
Génération écologie,non mentionné,2,,,
Eusko alkartasuna,non mentionné,2,,,
Mouvement de la gauche progressiste,non mentionné,2,,,
Union des indépendants;Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale,Enjeu France,2,,,
Union démocratique bretonne,non mentionné,2,,,
Parti communiste français,Rassemblement contre la droite et pour changer de politique,2,,,
Rassemblement pour la République,Union de l'opposition nationale,2,,,
Ligue communiste révolutionnaire;Jeunesses communistes révolutionnaires,A gauche vraiment,2,,,
Mouvement des radicaux de gauche,non mentionné,2,,,
Mouvement des radicaux de gauche,Alliance des Français pour le progrès,2,,,
Rassemblement pour la République;Union pour la démocratie française,Union,2,,,
Parti socialiste,Majorité présidentielle,2,,,
Parti socialiste;Mouvement des radicaux de gauche,Alliance des forces de progrès,2,,,
Parti socialiste;Mouvement des citoyens,non mentionné,2,,,
Parti communiste français,Rassemblement pour le changement,2,,,
Parti communiste français,Rassemblement à gauche pour changer de politique,2,,,
socialistes,Alliance des Français pour le progrès,2,,,
Alternative rouge et verte,non mentionné,2,,,
vert et rouge,non mentionné,1,,,
Agricultura Viva,non mentionné,1,,,
Alliance européenne des travailleurs,non mentionné,1,,,
Alliance populaire,Rassemblement national du peuple français,1,,,
Alliance populaire;Rassemblement niçois,Rassemblement des forces nationales,1,,,
Alliance populaire;royaliste,Rassemblement du peuple français,1,,,
Alliance pour l'écologie et la démocratie;Région verte;SOS environnement;Association des usagers de l'administration et des services publics;Fédération des usagers des transports d'Ile-de-France;Comité d'action du Val-de-Marne contre le bruit,Union pour l'écologie et la démocratie,1,,,
Alliance pour l'écologie et la démocratie;SOS environnement,Ecologie ch'timie,1,,,
Alternative démocratie socialisme,Changer à gauche,1,,,
Alternative rouge et verte,Solidarité écologie,1,,,
Centre des démocrates sociaux,Union pour la France;Union pour la Haute-Garonne,1,,,
Blanc c'est exprimé;indépendant,non mentionné,1,,,
Biosphère pour demain,non mentionné,1,,,
Association pour de nouvelles perspectives à gauche,Reconstruire à gauche,1,,,
Association des usagers de l'administration et des services publics;SOS environnement;Comité national d'action contre le bruit;Fédération des usagers des transports,Union pour l'écologie et la démocratie,1,,,
Arc en ciel;Parti radical transnational,non mentionné,1,,,
Amis saumurois de l'écologie,non mentionné,1,,,
Amis de la Terre,Union écologie,1,,,
Alternative rouge et verte;Solidarité écologie gauche alternative,non mentionné,1,,,
Alternative rouge et verte;Solidarité écologie gauche alternative,Ecologiste et régionaliste de gauche,1,,,
Alternative rouge et verte;Génération écologie,Entente des écologistes,1,,,
Alternative rouge et verte;Alternative démocratie socialisme;Refondations;Ligue communiste révolutionnaire,Changer à gauche,1,,,
non mentionné,Union de la jeunesse et des créateurs,1,,,
non mentionné,Union de l'opposition renouveau du rassemblement républicain,1,,,
non mentionné,Une démocratie nouvelle,1,,,
non mentionné,Une France forte et juste dans une Europe allant de l'Atlantique à l'Oural,1,,,
Parti communiste français,Rassemblement de la gauche et des forces de progrès,1,,,
Mouvement rénovateur nouvelle génération;Association O comme Oxygène,Union de l'opposition,1,,,
Mouvement région Savoie;Alliance libre européenne,non mentionné,1,,,
Mouvement pour une nouvelle humanité;Union des indépendants,non mentionné,1,,,
Mouvement démocratie alsacienne,non mentionné,1,,,
Parti républicain,non mentionné,1,,,
Parti radical;Union pour la démocratie française,non mentionné,1,,,
Parti occitan,non mentionné,1,,,
Parti national démocrate,non mentionné,1,,,
Parti libre,non mentionné,1,,,
Parti des travailleurs;Entente internationale des travailleurs,non mentionné,1,,,
Parti des chômeurs et des mécontents,D'abord l'emploi,1,,,
Parti de la politique inter-culturelle,non mentionné,1,,,
Parti d'en rire,non mentionné,1,,,
Parti communiste français;Refondations,Entente démocratique pour le changement à gauche,1,,,
Parti communiste français;Alternative rouge et verte;Refondations;Convergences et démocratie;espoirs 93,Emploi écologie solidarité,1,,,
Parti socialiste;centre;divers gauche,Agir ensemble,1,,,
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des réformateurs,Energie sud,1,,,
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des citoyens,non mentionné,1,,,
Parti socialiste;Mouvement des radicaux de gauche;Mouvement des citoyens,Rassemblement de la gauche républicaine,1,,,
Parti socialiste;Mouvement des radicaux de gauche;Club des démocrates,non mentionné,1,,,
Parti socialiste;Mouvement des radicaux de gauche;Association des démocrates,non mentionné,1,,,
Parti socialiste;Mouvement des radicaux de gauche,Rassemblement des forces de gauche et de progrès,1,,,
Parti socialiste;Mouvement des radicaux de gauche,Energie radicale;Alliance des Français pour le progrès,1,,,
Parti socialiste;Mouvement des radicaux de gauche,Autrement,1,,,
Parti socialiste;Mouvement des radicaux de gauche,Alliance des Français pour le progrès;Energie radicale,1,,,
Parti socialiste,Union des Français pour le progrès,1,,,
Parti socialiste,Rassemblement des forces de gauche et de progrès,1,,,
Parti socialiste,Génération action,1,,,
Parti républicain;Rassemblement pour la République,Union de l'opposition,1,,,
Parti communiste français,Rassemblement des forces de gauche et changement,1,,,
Parti communiste français,Rassemblement des femmes et des hommes de progrès,1,,,
Mouvement des réformateurs,Nouvelle génération centriste,1,,,
Mouvement des réformateurs,Génération centre,1,,,
Mouvement des réformateurs,Alliance des Français pour le progrès,1,,,
Mouvement des radicaux de gauche;Parti socialiste;Alliance pour l'écologie et la démocratie,Alliance des Français pour le progrès,1,,,
Mouvement des radicaux de gauche;Parti socialiste,non mentionné,1,,,
Mouvement des radicaux de gauche;Parti socialiste,Majorité présidentielle,1,,,
Mouvement des radicaux de gauche;Parti socialiste,Alliance des Français pour le progrès;Energie radicale,1,,,
Mouvement des radicaux de gauche,Pour Nice notre ville;Majorité présidentielle,1,,,
Mouvement des radicaux de gauche,Energie radicale;Alliance des Français pour le progrès,1,,,
Mouvement des radicaux de gauche,Energie radicale,1,,,
Rassemblement pour la République,Opposition unie,1,,,
Rassemblement pour l'Europe fédérale,non mentionné,1,,,
Rassemblement des démocrates normands,non mentionné,1,,,
Ras le bol,non mentionné,1,,,
Présence socialiste,non mentionné,1,,,
Pour la France,non mentionné,1,,,
Rassemblement pour la République;divers droite,non mentionné,1,,,
Rassemblement pour la République;Union pour la démocratie française;indépendants;non inscrit;Des villages dans la ville,Union pour la France,1,,,
Rassemblement pour la République;Union pour la démocratie française;divers modérés,non mentionné,1,,,
Rassemblement pour la République;Union pour la démocratie française;Parti radical;Centre des démocrates sociaux;Parti républicain;Moselle debout,non mentionné,1,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants;Parti républicain;Parti radical;Centre des démocrates sociaux;Parti social démocrate,Union pour la France,1,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants et paysans,Union de l'opposition,1,,,
Rassemblement pour la République;Union pour la démocratie française;Centre national des indépendants,Opposition,1,,,
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux;Parti républicain,Union pour la France,1,,,
Rassemblement pour la République;Union pour la démocratie française;Centre des démocrates sociaux,Union pour la France,1,,,
Rassemblement pour la République;Union pour la démocratie française,Union pour la France;Union républicaine et libérale,1,,,
Rassemblement pour la République;Union pour la démocratie française,Rassemblement de l'opposition,1,,,
Rassemblement pour la République;Union des démocrates de progrès,non mentionné,1,,,
Rassemblement pour la République;Indépendants et paysans,non mentionné,1,,,
Rassemblement pour la République;Centre national des indépendants;Union pour la démocratie française,Union pour la France,1,,,
Mouvement des réformateurs;Solidarités;Politique autrement,non mentionné,1,,,
Mouvement des réformateurs;Rassemblement pour l'Europe fédérale;Convention générale de Bretagne,Rassemblement européen des réformateurs,1,,,
Mouvement des citoyens;Refondations;Alternative rouge et verte;Ligue communiste révolutionnaire;Alternative démocratie socialisme,Gauche citoyenne et écologiste,1,,,
Mouvement des citoyens;Parti socialiste,non mentionné,1,,,
Mouvement des citoyens;Mouvement des radicaux de gauche;Alternative démocratie socialisme,Alliance des Français pour le progrès,1,,,
Mouvement des citoyens,Solidarité écologie,1,,,
Mouvement des chrétiens pour la Ve République;Centre national des indépendants;Union des démocrates de progrès,non mentionné,1,,,
Mouvement de la gauche progressiste;Solidarité écologie gauche alternative,non mentionné,1,,,
Ligue socialiste des travailleurs,non mentionné,1,,,
Ligue pour les libertés publiques,non mentionné,1,,,
Ligue communiste révolutionnaire;Egalité XXe;Refondations;Alliance rouge et verte,A gauche vraiment,1,,,
Skyrock Quercy Rouergue,non mentionné,1,,,
Région verte;EDEN;SOS environnement;Union des écologistes;Association des usagers de l'administration et des services publics;Parti de l'arbre;Terre prochaine,Union pour l'écologie et la démocratie,1,,,
Région verte;Association des usagers de l'administration et des services publics;Union civique;SOS environnement,Union pour l'écologie et la démocratie,1,,,
Région verte,non mentionné,1,,,
Région verte,Union région 93 verte,1,,,
Région verte,Union pour l'écologie et la démocratie,1,,,
Responsabilités partagées;Alliance pour l'écologie et la démocratie,non mentionné,1,,,
Union des indépendants,Citoyens,1,,,
Trop d'immigrés la France aux Français;Contre le vote des immigrés,non mentionné,1,,,
Trop d'immigrés la France aux Français,non mentionné,1,,,
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union pour la démocratie française,Enjeu France,1,,,
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;écologiste indépendant,Enjeu France,1,,,
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale;Union des indépendants;Parti démocrate;Parti réformiste;Union libérale de progrès;Union centriste républicaine indépendante,Enjeu France,1,,,
Syndicat national de défense du droit des agriculteurs;Collectif du monde rural pour le non à Maastricht;Coordination rurale,Enjeu France,1,,,
Solidarités;A gauche autrement,Autrement recomposons une nouvelle gauche,1,,,
Solidarité écologie gauche alternative;Refondations,non mentionné,1,,,
Solidarité écologie gauche alternative;Parti des travailleurs;Mouvement des citoyens;Démocratie socialiste;Alternative démocratie socialisme;Alternative rouge et verte,non mentionné,1,,,
Solidarité écologie gauche alternative;Mouvement de la gauche progressiste;Alternative démocratie socialisme;Alternative rouge et verte,non mentionné,1,,,
Solidarité écologie gauche alternative;Ecologie solidarités,non mentionné,1,,,
Solidarité écologie gauche alternative;Alternative démocratie socialisme,non mentionné,1,,,
Solidarité écologie gauche alternative,A gauche autrement,1,,,
Mouvement des démocrates;Union des indépendants,non mentionné,1,,,
Mouvement des démocrates libéraux,non mentionné,1,,,
Ligue communiste révolutionnaire;Alternative libertaire,A gauche toute,1,,,
Ligue communiste révolutionnaire,Union pour une véritable écologie;A gauche vraiment,1,,,
Ligue communiste révolutionnaire,Solidarité égalité écologie;A gauche vraiment,1,,,
Ligue communiste révolutionnaire,Rupture pour une gauche alternative,1,,,
Jeunesses communistes révolutionnaires;Groupe socialiste internationaliste,Opposition ouvrière,1,,,
Jeunesse nationaliste révolutionnaire,non mentionné,1,,,
Jeunes sociaux libéraux;Union pour la démocratie française;Rassemblement pour la République,non mentionné,1,,,
Jeunes Centre national des indépendants;Centre national des indépendants;Démocratie chrétienne française,non mentionné,1,,,
Génération écologie;Verts;Parti occitan,Entente des écologistes,1,,,
Génération écologie;Verts,Entente des écologistes;Entente des écologistes de la Méditerranée,1,,,
Union démocratique bretonne;Solidarité écologie gauche alternative,Solidarité écologie,1,,,
Union du peuple de France,non mentionné,1,,,
Union du peuple alsacien,non mentionné,1,,,
Union des écologistes,non mentionné,1,,,
Union des indépendants;Union départementale d'opposition 93,non mentionné,1,,,
Union des indépendants,Objectif France,1,,,
Union pour la démocratie française;Parti républicain;Centre national des indépendants et paysans;Comité central bonapartiste,non mentionné,1,,,
Union pour la démocratie française;Parti républicain;Centre des démocrates sociaux;Parti social démocrate;Parti radical,non mentionné,1,,,
Union pour la démocratie française;Parti républicain,Union pour la France,1,,,
Union pour la démocratie française;Parti républicain,Opposition unie,1,,,
Union pour la démocratie française;Parti radical;Parti républicain;Centre des démocrates sociaux;Clubs perspectives et réalités,Union de l'opposition,1,,,
Union pour la démocratie française;Centre national des indépendants;non inscrits;Rassemblement pour la République,Union de l'opposition et défense du monde rural,1,,,
Union pour la démocratie française;Centre national des indépendants et paysans,non mentionné,1,,,
Union pour la démocratie française;Centre des démocrates sociaux;Parti radical;Parti républicain;Parti social démocrate;Clubs perspectives et réalités,Union de l'opposition,1,,,
Union pour la démocratie française,Union pour le Cher et la France,1,,,
Union pour la démocratie française,Union pour la France;Vouloir Cherbourg,1,,,
Union pour la démocratie française,Union pour la France;Ensemble pour gagner,1,,,
Union pour la démocratie française,Union de l'opposition républicaine,1,,,
Union pour la démocratie française,Rassemblement pour la Creuse,1,,,
Union pour la démocratie française,Energie nouvelle et union,1,,,
Union démocratique bretonne;Solidarité écologie gauche alternative,non mentionné,1,,,
Ligue communiste révolutionnaire;Alternative rouge et verte,non mentionné,1,,,
Génération écologie;Ecologie les Verts,Entente des écologistes,1,,,
Génération verte,non mentionné,1,,,
Groupement Thémis,non mentionné,1,,,
France plus,Ensemble aujourd'hui,1,,,
France Planète 21,non mentionné,1,,,
France 16,non mentionné,1,,,
Forum progressiste;Solidarité écologie gauche alternative,non mentionné,1,,,
Esquerra republicana de Catalunya,non mentionné,1,,,
Entente pour la démocratie et l'écologie en Normandie;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,,,
Entente populaire indépendante,non mentionné,1,,,
Ensemble aujourd'hui;France plus,non mentionné,1,,,
Union pour la démocratie française;Rassemblement pour la République;Centre des démocrates sociaux,non mentionné,1,,,
Union pour la démocratie française;Rassemblement pour la République,Union pour la Vendée,1,,,
Union pour la démocratie française;Rassemblement pour la République,Union de l'opposition nationale,1,,,
Union pour la démocratie française;Rassemblement pour la République,Opposition unie,1,,,
Union pour la démocratie française;Rassemblement pour la République,Opposition,1,,,
Verts associatifs,Ecologie pluraliste indépendante,1,,,
Verts,Union des écologistes non inscrits,1,,,
Verts,Union des écologistes indépendants,1,,,
Urbains gogologistes,non mentionné,1,,,
Unitat d'Oc,non mentionné,1,,,
Union pour la démocratie française;Union des indépendants,Opposition,1,,,
Union pour la démocratie française;Union des démocrates de progrès;Rassemblement pour la République;Mouvement solidarité participation;Union des jeunes pour le progrès;Femme avenir,Union en Normandie,1,,,
Union pour la démocratie française;Rassemblement pour la République;non inscrits,non mentionné,1,,,
Union pour la démocratie française;Rassemblement pour la République;centristes,non mentionné,1,,,
Union pour la démocratie française;Rassemblement pour la République;Parti radical;Parti républicain;Centre des démocrates sociaux,Union pour la France,1,,,
Union pour la démocratie française;Rassemblement pour la République;Mouvement France régions,non mentionné,1,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;non inscrits,Union pour la France,1,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants;Union du centre;divers droite,Union pour la France,1,,,
Union pour la démocratie française;Rassemblement pour la République;Centre national des indépendants et paysans,Union pour la France,1,,,
Union pour la démocratie française;Rassemblement pour la République;Centre des démocrates sociaux;Parti républicain;Parti radical;Parti social démocrate,non mentionné,1,,,
Génération écologie;Ecologie les Verts;PROMESSE;confédération A29;Pourquoi pas Le Havre,Entente des écologistes,1,,,
aucun parti politique,Union de l'opposition,1,,,
aucun parti politique,Nouvelle majorité libérale,1,,,
aucun parti politique,Lorraine première,1,,,
aucun parti politique,France éclairée,1,,,
apolitiques,non mentionné,1,,,
apolitique,non mentionné,1,,,
apolitique,Force verte,1,,,
Virage 93;Solidarité écologie gauche alternative;Alternative rouge et verte;Alternative démocratie socialisme,non mentionné,1,,,
Verts;Génération écologie;Gauche socialiste;Alternative rouge et verte;Alternative démocratie socialisme;Ligue communiste révolutionnaire;Refondations;Unir et agir pour Gagny,Entente des écologistes,1,,,
Verts;Génération écologie;Alternative rouge et verte;Union démocratique bretonne,Entente des écologistes,1,,,
Verts;Génération écologie;Alternative rouge et verte;Association des élus écologistes de l'Isère;Ecologie alternatives autogestion,Entente des écologistes,1,,,
Verts;Génération écologie,non mentionné,1,,,
Verts;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,,,
Verts indépendants,non mentionné,1,,,
Verts autonomes,Ecologie politiquement indépendante,1,,,
Verts associatifs,non mentionné,1,,,
droite modérée,Union pour une future majorité parlementaire,1,,,
droite libérale et républicaine,non mentionné,1,,,
droite libérale démocratique,Union pour la France,1,,,
droite libérale,Convention économie qualité de vie,1,,,
droite indépendante,non mentionné,1,,,
droite démocratique,non mentionné,1,,,
droite autonome,non mentionné,1,,,
divers droite,Opposition,1,,,
divers droite,Enjeu France,1,,,
communiste,Rassemblement des forces de progrès,1,,,
centriste;sans étiquette,non mentionné,1,,,
centriste,Opposition modérée européenne et sociale,1,,,
centre,non mentionné,1,,,
centre,Union nationale républicaine,1,,,
aucune formation politique,non mentionné,1,,,
aucun parti politique;Rassemblement pour la République;Union des démocrates de progrès;Centre national des indépendants;Amicale gaulliste des Flandres;Femme avenir;Groupe opposition nouvelle génération,non mentionné,1,,,
indépendant,Rassemblement républicain radical pour le renouveau par des réformes réalistes,1,,,
indépendant,Rassemblement par le sport,1,,,
indépendant,Opposition indépendante,1,,,
indépendant,Nice fraternité,1,,,
indépendant,Humanisme et république,1,,,
indépendant,Combat pour les valeurs et pour la France,1,,,
hors des partis politiques;société civile,non mentionné,1,,,
gaulliste;libre,non mentionné,1,,,
gaulliste;indépendant,non mentionné,1,,,
gaulliste,Réforme et renouveau,1,,,
gaulliste,Rassemblement de la droite,1,,,
gaulliste,Opposition nationale,1,,,
gaulliste,Opposition,1,,,
gauche;formation politique,non mentionné,1,,,
gauche,Union des citoyens,1,,,
droite;sans étiquette,Renouveau pour le Calvados,1,,,
En Calvados l'écologie n'est pas à vendre,Ecologistes ni à droite ni à gauche,1,,,
Ecologie les Verts;Génération écologie;Autogestion écologie 85,Entente des écologistes,1,,,
Ecologie les Verts;Génération écologie;Alternative rouge et verte,Entente des écologistes,1,,,
Ecologie les Verts;Génération écologie,non mentionné,1,,,
Ecologie citoyenneté et laïcité;Ecologie 92;VRAIS écologistes;Cultures et laïcité;Association pour la culture bretonne;Cercle communautaire laïc juif;France Islam laïcité;AVEC;Montagne sans frontière;Alternative;Alliance pour l'écologie et la démocratie,Union pour l'écologie et la démocratie,1,,,
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Rencontres écologie et solidarités;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,non mentionné,1,,,
Ecologie 92;Confédération syndicale du cadre de vie;Alternative;Initiatives 92;Ecologie citoyenneté et laïcité;Comité de soutien à la coopérative écologique;Dialogues-Cultures et identités;France cultures Islam et laïcité;Mouvement communautaire juif laïc;Ecologie et solidarités multiculturelles;Alliance pour l'écologie et la démocratie,non mentionné,1,,,
Démocratie chrétienne française;Centre national des indépendants et paysans,non mentionné,1,,,
Démocratie chrétienne française,non mentionné,1,,,
Démocrates de progrès,Union pour la France,1,,,
Démocrate de progrès;Agir;Parti socialiste;Mouvement des radicaux de gauche;Mouvement des réformateurs;Mouvement des démocrates;Club gardois des libéraux-sociaux;Solidarité environnement,non mentionné,1,,,
Coordination rurale;Chasse pêche nature traditions;UTILE;Union des indépendants,non mentionné,1,,,
indépendant,Yvelines écologie,1,,,
indépendant,Un vrai libéralisme,1,,,
indépendant,Sos patrimoine économique du Finistère,1,,,
indépendant,Retz-Atlantique initiatives pour un pays,1,,,
libre;Parti des travailleurs,Unité et démocratie,1,,,
libre,Une politique de l'emploi,1,,,
indépendants;Centre chrétien populaire,non mentionné,1,,,
indépendants,Union pour la Franche-Comté,1,,,
indépendants,Sos patrimoine économique,1,,,
indépendants,Opposition,1,,,
indépendants,93 au coeur,1,,,
indépendant;écologiste,non mentionné,1,,,
indépendant;sans étiquette,non mentionné,1,,,
indépendant;hors des partis politiques,non mentionné,1,,,
indépendant;hors des partis politiques,Agir pour une France libérale sociale et écologique,1,,,
indépendant;gauche,non mentionné,1,,,
indépendant;centre droit,non mentionné,1,,,
indépendant;centre,non mentionné,1,,,
